Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
71,Armel Bella Kotchap,de GER,DF,nl PSV Eindhoven,21,2001,2,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
72,Jude Bellingham,eng ENG,"MF,FW",es Real Madrid,20,2003,11,11,989,11.0,4,5,9,4,0,0,2,0,3.0,3.0,2.6,5.7,36,69,76,0.36,0.46,0.82,0.36,0.82,0.28,0.25,0.53,0.28,0.53,Matches
73,Walter Benítez,ar ARG,GK,nl PSV Eindhoven,30,1993,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
74,Loris Benito,ch SUI,DF,ch Young Boys,31,1992,5,5,406,4.5,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2,15,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
75,Ramy Bensebaini,dz ALG,DF,de Dortmund,28,1995,5,4,375,4.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,14,18,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
76,Lucas Beraldo,br BRA,DF,fr Paris S-G,19,2003,5,4,409,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Paulo Bernardo,pt POR,MF,sct Celtic,21,2002,6,2,312,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,9,12,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches
78,Juan Bernat,es ESP,DF,pt Benfica,30,1993,2,1,111,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
79,Mads Bidstrup,dk DEN,MF,at RB Salzburg,22,2001,6,6,494,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,11,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
80,Justin Bijlow,nl NED,GK,nl Feyenoord,25,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
