Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Matches
39,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,21,1993,3,2,185,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,fr Ligue 1,22,1992,33,29,2555,28.4,1,4,5,1,0,0,12,0,0.04,0.14,0.18,0.04,0.18,Matches
41,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,23,1992,30,27,2492,27.7,2,0,2,2,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
42,Fabrizio Alastra,it ITA,GK,Palermo,it Serie A,17,1997,2,1,144,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Jordi Alba,es ESP,"DF,MF",Barcelona,es La Liga,26,1989,31,29,2589,28.8,0,6,6,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches
44,Raúl Albentosa,es ESP,DF,Málaga,es La Liga,26,1988,29,27,2555,28.4,2,0,2,2,0,0,11,0,0.07,0.00,0.07,0.07,0.07,Matches
45,Michelangelo Albertazzi,it ITA,DF,Hellas Verona,it Serie A,24,1991,10,9,702,7.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Luis Alberto,es ESP,"FW,MF",La Coruña,es La Liga,22,1992,29,25,2098,23.3,6,7,13,6,0,0,3,0,0.26,0.30,0.56,0.26,0.56,Matches
47,Raúl Albiol,es ESP,DF,Napoli,it Serie A,29,1985,36,36,3240,36.0,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,Matches
48,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,24,1990,23,23,2069,23.0,0,1,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matches
49,Marc Albrighton,eng ENG,"DF,FW",Leicester City,eng Premier League,25,1989,38,34,2749,30.5,2,6,8,2,0,0,4,0,0.07,0.20,0.26,0.07,0.26,Matches
50,Paco Alcácer,es ESP,FW,Valencia,es La Liga,21,1993,34,25,2419,26.9,13,6,19,11,2,3,2,0,0.48,0.22,0.71,0.41,0.63,Matches
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,24,1991,27,16,1643,18.3,2,3,5,2,0,0,2,0,0.11,0.16,0.27,0.11,0.27,Matches
52,Antolín Alcaraz,py PAR,DF,Las Palmas,es La Liga,33,1982,6,6,540,6.0,1,0,1,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17,Matches
