Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
612,Volodymyr Shepelyev,ua UKR,MF,ua Dynamo Kyiv,24,1997,0.6,1,1.64,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
613,Oleksiy Shevchenko,ua UKR,GK,ua Shakhtar,29,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
614,Ilya Shkurin,by BLR,FW,ua Dynamo Kyiv,21,1999,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
615,Shola Shoretire,eng ENG,MF,eng Manchester Utd,17,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
616,Vincent Sierro,ch SUI,MF,ch Young Boys,25,1995,2.7,8,3.00,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
617,André Silva,pt POR,FW,de RB Leipzig,25,1995,4.5,21,4.64,12,0,1,3,4,1,3,0.66,1,0,1,1,0,0,Matches
618,Bernardo Silva,pt POR,"MF,FW",eng Manchester City,26,1994,9.7,23,2.45,22,0,0,1,0,0,3,0.32,3,0,0,0,0,0,Matches
619,Bruno Felipe Souza da Silva,br BRA,"FW,MF",md Sheriff Tiraspol,27,1994,3.5,12,3.44,9,1,1,0,1,0,1,0.29,0,0,0,0,1,0,Matches
620,Cristiano da Silva Leite,br BRA,DF,md Sheriff Tiraspol,27,1993,6.0,10,1.67,7,0,1,1,0,1,4,0.67,3,0,1,0,0,0,Matches
621,Rafa Silva,pt POR,"FW,MF",pt Benfica,28,1993,7.8,26,3.34,19,0,5,0,2,0,2,0.26,2,0,0,0,0,0,Matches
