Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
351,David Luiz,br BRA,"DF,MF",fr Paris S-G,28,1987,7.0,,,,,,,,,,,,,,,0,,,,,,Matches
352,Paulo Machado,pt POR,MF,hr Dinamo Zagreb,29,1986,4.8,,,,,,,,,,,,,,,1,,,,,,Matches
353,Adam Maher,nl NED,MF,nl PSV Eindhoven,22,1993,2.8,,,,,,,,,,,,,,,2,,,,,,Matches
354,Maicon,br BRA,DF,pt Porto,26,1988,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
355,Yevhen Makarenko,ua UKR,"DF,MF",ua Dynamo Kyiv,24,1991,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
356,Nemanja Maksimović,rs SRB,MF,kz FC Astana,20,1995,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
357,Steed Malbranque,fr FRA,MF,fr Lyon,35,1980,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
358,Maksym Malyshev,ua UKR,"DF,MF",ua Shakhtar,22,1992,1.3,,,,,,,,,,,,,,,0,,,,,,Matches
359,Mario Mandžukić,hr CRO,"FW,MF",it Juventus,29,1986,3.8,,,,,,,,,,,,,,,1,,,,,,Matches
360,Eliaquim Mangala,fr FRA,DF,eng Manchester City,24,1991,6.8,,,,,,,,,,,,,,,0,,,,,,Matches
361,Kostas Manolas,gr GRE,DF,it Roma,24,1991,8.0,,,,,,,,,,,,,,,1,,,,,,Matches
362,Iván Marcano,es ESP,DF,pt Porto,28,1987,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
363,Marcelo,br BRA,"DF,MF",es Real Madrid,27,1988,10.1,,,,,,,,,,,,,,,2,,,,,,Matches
364,Claudio Marchisio,it ITA,MF,it Juventus,29,1986,4.5,,,,,,,,,,,,,,,0,,,,,,Matches
365,José María Giménez,uy URU,DF,es Atlético Madrid,20,1995,7.3,,,,,,,,,,,,,,,0,,,,,,Matches
366,Mariano,br BRA,"DF,MF",es Sevilla,29,1986,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
367,Marlos,ua UKR,"FW,MF",ua Shakhtar,27,1988,4.9,,,,,,,,,,,,,,,0,,,,,,Matches
368,Marquinhos,br BRA,"DF,MF",fr Paris S-G,21,1994,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
369,Anthony Martial,fr FRA,"FW,MF",eng Manchester Utd,19,1995,5.7,,,,,,,,,,,,,,,0,,,,,,Matches
